"population","year","sex","prespawn"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","PreSpawn"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
"IMN",2010,"F","Spawned"
